2014-Jun-28_09-29-40,Time Stamp,,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Foward Direction,Toggle Direction,To High Gear,To Low Gear,Catch Mode,Coll2Shoot,CollDwn2,CollDwn,CollUp2,CollUp,CollTogg,CollHold,Purge,Lauch Ball,Front Left Speed,Front Right Speed,Back Left Speed,Back Right Speed,Angle Speed,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,,
2014-Jun-28_10-38-25,10-38-25.2,0,10.766,52.955,0.007,-0.043,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.747,0.835,0.759,0.848,0,0,0,1,1,752.926,-327.664,109.517,0,0,13375,5,125.822,1,???B,
2014-Jun-28_10-38-25,10-38-25.3,0,11.103,37.902,0.013,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.785,0.785,0.81,0.81,1,0,0,1,1,728.795,-327.904,109.631,0,0,13385,5,126.022,1,?T?,
2014-Jun-28_10-38-25,10-38-25.4,0,11.311,35.699,0.025,0.006,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785,0.772,0.835,0.823,0,0,0,1,1,540.993,-328.026,109.517,0,0,13390,5,126.122,1,pp?4,
2014-Jun-28_10-38-25,10-38-25.6,0,11.276,27.622,0.066,0.107,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835,0.633,0.975,0.759,0,0,0,1,1,32.143,-328.146,109.631,0,0,13395,5,126.221,1,m???,
2014-Jun-28_10-38-25,10-38-25.7,0,11.267,25.052,0.279,0.142,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.658,0.38,1,0.937,1,0,0,1,1,31.093,-328.27,109.403,0,0,13400,5,126.321,1,}m?,
2014-Jun-28_10-38-25,10-38-25.8,0,11.501,18.443,0.491,0.391,-0.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266,-0.521,1,0.468,0,0,0,1,1,693.123,-328.391,109.631,0,0,13405,5,126.421,1,1???,
2014-Jun-28_10-38-25,10-38-25.9,0,10.62,65.071,0.142,0.914,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.772,-1,1,-0.767,0,0,0,2,1,750.828,-328.514,109.631,0,0,13410,5,126.521,1,?wO,
2014-Jun-28_10-38-26,10-38-26.0,0,9.834,87.834,0.051,0.477,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.37,-1,-0.274,-1,0,0,0,2,1,751.877,-328.634,109.517,0,0,13415,5,126.621,1,?h?,
2014-Jun-28_10-38-26,10-38-26.1,0,9.169,128.22,0.023,0.403,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.425,-1,-0.37,-1,0,0,0,2,1,752.926,-328.761,109.517,0,0,13420,5,126.722,1,8??y,
2014-Jun-28_10-38-26,10-38-26.2,0,9.048,126.384,0.023,0.213,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.616,-1,-0.562,-0.986,0,0,0,2,1,752.926,-328.891,109.631,0,0,13425,5,126.822,1,????,
2014-Jun-28_10-38-26,10-38-26.3,0,9.298,108.394,-0.001,0.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.767,-0.836,-0.767,-0.836,0,0,0,2,1,752.926,-329.022,109.631,0,0,13430,5,126.922,1,??k,
2014-Jun-28_10-38-26,10-38-26.4,0,9.635,94.075,-0.001,0.072,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.726,-0.877,-0.726,-0.877,0,0,0,2,1,57.323,-329.282,109.403,0,0,13440,5,127.122,1,?R,
2014-Jun-28_10-38-26,10-38-26.5,0,8.763,154.288,0.035,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962,-1,1,-0.959,0,0,0,2,1,169.585,-329.405,109.517,0,0,13445,5,127.222,1,?Mf-,
2014-Jun-28_10-38-26,10-38-26.6,0,8.201,158.693,0.126,1,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873,-1,1,-0.877,0,0,0,2,1,192.667,-329.527,109.517,0,0,13450,5,127.322,1,u?]V,
2014-Jun-28_10-38-26,10-38-26.8,0,8.486,160.529,0.148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848,-1,1,-0.849,0,0,0,2,1,720.402,-329.652,109.517,0,0,13455,5,127.422,1,?{M7,
2014-Jun-28_10-38-26,10-38-26.9,0,8.849,139.969,0.185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,-1,1,-0.822,0,0,0,2,1,750.828,-329.802,109.517,0,0,13460,5,127.522,1,?r!?,
2014-Jun-28_10-38-27,10-38-27.0,0,8.461,160.529,0.261,1,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734,-1,1,-0.74,0,0,0,2,1,751.877,-329.928,109.631,0,0,13465,5,127.622,1,?b?o,
2014-Jun-28_10-38-27,10-38-27.1,0,8.547,150.249,0.221,1,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785,-1,1,-0.781,0,0,0,2,1,752.926,-330.053,109.517,0,0,13470,5,127.721,1,DJV?,
2014-Jun-28_10-38-27,10-38-27.2,0,8.832,134.094,0.327,1,-0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722,-1,1,-0.63,0,0,0,2,1,751.877,-330.175,109.517,0,0,13475,5,127.821,1,????,
2014-Jun-28_10-38-27,10-38-27.3,0,8.979,139.602,0.759,1,-0.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975,-1,1,0.494,0,0,0,2,1,752.926,-330.301,109.517,0,0,13480,5,127.921,1,I'L?,
2014-Jun-28_10-38-27,10-38-27.4,0,8.478,159.428,0.894,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911,-1,1,0.696,0,0,0,2,1,750.828,-330.424,109.517,0,0,13485,5,128.021,1,?s??,
2014-Jun-28_10-38-27,10-38-27.5,0,8.607,140.703,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797,-1,1,0.797,0,0,0,2,1,752.926,-330.549,109.517,0,0,13490,5,128.121,1,???,
2014-Jun-28_10-38-27,10-38-27.6,0,9.488,106.926,0.796,1,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203,-1,1,-0.205,0,0,0,2,1,752.926,-330.792,109.517,0,0,13500,5,128.321,1,"?""",
